svn;email;issues
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131024	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131025	hadoop-common-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131025	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130109	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130110	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130125	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130127	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130129	hadoop-common-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130129	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130201	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130205	hadoop-common-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130207	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130209	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130211	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130213	hadoop-common-project	2
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130213	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130216	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130312	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130319	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130401	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130402	hadoop-hdfs-project	3
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130424	hadoop-common-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130424	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130430	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130510	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130516	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130603	hadoop-common-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130615	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130802	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130803	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130815	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130904	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20130912	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131001	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131002	hadoop-hdfs-project	3
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131022	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131023	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131025	hadoop-common-project	1
acmurthy;Aaron-T.-Myers-(JIRA);Aaron-T.-Myers-(JIRA)	20131115	hadoop-hdfs-project	1
acmurthy;Aaron-Zimmerman-(JIRA);Aaron-Zimmerman-(JIRA)	20130312	hadoop-mapreduce-project	1
acmurthy;Abdelrahman-Shettia-(JIRA);Abdelrahman-Shettia-(JIRA)	20131112	hive	1
acmurthy;Abhijeet-Apsunde;Abhijeet-Apsunde	20131225	hadoop-hdfs-project	1
